"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.38,,
0.050,0.37,-0.01,
0.100,0.38,-0.03,-1.10
0.150,0.37,-0.12,-2.23
0.200,0.37,-0.27,-2.92
0.250,0.35,-0.44,-2.89
0.300,0.32,-0.59,-2.09
0.350,0.29,-0.67,-0.70
0.400,0.25,-0.67,1.12
0.450,0.22,-0.57,3.05
0.500,0.19,-0.35,4.46
0.550,0.18,-0.07,4.80
0.600,0.18,0.17,4.25
0.650,0.20,0.35,3.40
0.700,0.22,0.50,2.40
0.750,0.25,0.62,0.88
0.800,0.28,0.63,-1.23
0.850,0.32,0.49,-3.18
0.900,0.34,0.26,-4.23
0.950,0.34,0.03,-4.41
1.000,0.34,-0.18,-4.16
1.050,0.33,-0.39,-3.49
1.100,0.30,-0.57,-2.05
1.150,0.26,-0.63,-0.04
1.200,0.23,-0.56,1.85
1.250,0.21,-0.41,3.15
1.300,0.19,-0.23,3.94
1.350,0.18,-0.02,4.41
1.400,0.19,0.23,4.30
1.450,0.21,0.46,3.31
1.500,0.24,0.59,1.62
1.550,0.27,0.62,-0.22
1.600,0.30,0.55,-1.84
1.650,0.33,0.43,-3.31
1.700,0.34,0.23,-4.51
1.750,0.35,-0.05,-4.97
1.800,0.34,-0.32,-4.31
1.850,0.31,-0.52,-2.79
1.900,0.29,-0.60,-1.01
1.950,0.25,-0.61,0.76
2.000,0.22,-0.53,2.46
2.050,0.20,-0.36,3.84
2.100,0.18,-0.12,4.49
2.150,0.18,0.13,4.30
2.200,0.20,0.33,3.55
2.250,0.22,0.49,2.46
2.300,0.25,0.59,0.95
2.350,0.28,0.60,-0.93
2.400,0.31,0.50,-2.70
2.450,0.33,0.30,-3.81
2.500,0.34,0.08,-4.24
2.550,0.34,-0.13,-4.24
2.600,0.33,-0.35,-3.76
2.650,0.31,-0.54,-2.48
2.700,0.27,-0.63,-0.47
2.750,0.24,-0.58,1.57
2.800,0.21,-0.44,3.04
2.850,0.19,-0.26,3.87
2.900,0.18,-0.05,4.27
2.950,0.19,0.18,4.20
3.000,0.20,0.40,3.41
3.050,0.23,0.55,1.90
3.100,0.26,0.60,0.04
3.150,0.29,0.55,-1.70
3.200,0.32,0.42,-3.07
3.250,0.34,0.23,-3.98
3.300,0.34,-8.63E-4,-4.30
3.350,0.34,-0.23,-3.95
3.400,0.32,-0.41,-3.04
3.450,0.29,-0.54,-1.72
3.500,0.26,-0.60,-0.03
3.550,0.23,-0.56,1.84
3.600,0.20,-0.41,3.45
3.650,0.19,-0.18,4.34
3.700,0.18,0.06,4.40
3.750,0.19,0.28,3.83
3.800,0.21,0.45,2.82
3.850,0.24,0.57,1.36
3.900,0.27,0.61,-0.47
3.950,0.31,0.53,-2.32
4.000,0.33,0.35,-3.68
4.050,0.34,0.13,-4.30
4.100,0.34,-0.09,-4.30
4.150,0.33,-0.31,-3.76
4.200,0.31,-0.49,-2.61
4.250,0.28,-0.60,-0.86
4.300,0.25,-0.59,1.06
4.350,0.22,-0.48,2.66
4.400,0.20,-0.30,3.65
4.450,0.19,-0.09,4.10
4.500,0.19,0.12,4.11
4.550,0.20,0.33,3.59
4.600,0.22,0.51,2.42
4.650,0.25,0.60,0.69
4.700,0.29,0.58,-1.19
4.750,0.32,0.47,-2.82
4.800,0.34,0.28,-3.95
4.850,0.34,0.05,-4.47
4.900,0.34,-0.19,-4.25
4.950,0.32,-0.40,-3.27
5.000,0.30,-0.54,-1.78
5.050,0.27,-0.58,-0.10
5.100,0.24,-0.55,1.53
5.150,0.21,-0.43,2.95
5.200,0.19,-0.24,3.93
5.250,0.19,-0.01,4.27
5.300,0.19,0.22,3.93
5.350,0.21,0.40,3.01
5.400,0.23,0.53,1.63
5.450,0.26,0.58,-0.03
5.500,0.30,0.53,-1.71
5.550,0.32,0.39,-3.04
5.600,0.34,0.20,-3.82
5.650,0.34,0.00,-4.13
5.700,0.34,-0.22,-4.00
5.750,0.32,-0.43,-3.23
5.800,0.29,-0.58,-1.63
5.850,0.26,-0.61,0.45
5.900,0.23,-0.52,2.32
5.950,0.20,-0.35,3.52
6.000,0.19,-0.14,4.03
6.050,0.19,0.07,4.06
6.100,0.20,0.27,3.65
6.150,0.22,0.45,2.70
6.200,0.24,0.57,1.16
6.250,0.28,0.58,-0.69
6.300,0.31,0.49,-2.40
6.350,0.33,0.32,-3.60
6.400,0.34,0.11,-4.20
6.450,0.34,-0.12,-4.17
6.500,0.33,-0.33,-3.49
6.550,0.31,-0.49,-2.24
6.600,0.28,-0.56,-0.64
6.650,0.25,-0.55,1.04
6.700,0.22,-0.46,2.51
6.750,0.20,-0.29,3.62
6.800,0.19,-0.08,
6.850,0.19,0.15,
6.900,0.20,,
