"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1"
0.000,0.00,
0.050,0.00,1.31
0.100,0.13,0.83
0.150,0.12,0.40
0.200,0.13,-0.02
0.250,0.12,0.01
0.300,0.12,0.00
0.350,0.13,0.00
0.400,0.12,0.00
0.450,0.13,-0.01
0.500,0.12,-0.01
0.550,0.12,-0.01
0.600,0.12,-0.01
0.650,0.12,0.00
0.700,0.12,0.02
0.750,0.12,0.04
0.800,0.13,-0.39
0.850,0.13,-0.84
0.900,0.00,-0.86
0.950,0.00,-0.43
1.000,0.00,0.00
1.050,0.00,0.00
1.100,0.00,0.00
1.150,0.00,0.00
1.200,0.00,0.00
1.250,0.00,0.00
1.300,0.00,0.43
1.350,0.00,0.85
1.400,0.13,0.83
1.450,0.13,0.40
1.500,0.12,-0.02
1.550,0.12,-0.01
1.600,0.12,0.00
1.650,0.12,0.01
1.700,0.13,0.01
1.750,0.12,6.14E-4
1.800,0.12,-0.01
1.850,0.12,-5.61E-4
1.900,0.12,0.00
1.950,0.12,0.01
2.000,0.12,0.05
2.050,0.13,-0.38
2.100,0.14,-0.84
2.150,0.00,-0.88
2.200,0.00,-0.45
2.250,0.00,0.00
2.300,0.00,0.00
2.350,0.00,0.00
2.400,0.00,0.00
2.450,0.00,0.43
2.500,0.00,0.84
2.550,0.13,0.84
2.600,0.12,0.41
2.650,0.13,-0.01
2.700,0.13,-0.01
2.750,0.12,-0.02
2.800,0.12,-0.02
2.850,0.12,-0.01
2.900,0.12,0.01
2.950,0.12,0.01
3.000,0.12,-0.01
3.050,0.12,-0.01
3.100,0.12,0.01
3.150,0.12,0.02
3.200,0.13,0.01
3.250,0.12,0.01
3.300,0.13,0.02
3.350,0.13,0.05
3.400,0.13,-0.39
3.450,0.14,-0.86
3.500,0.00,-0.88
3.550,0.00,-0.45
3.600,0.00,0.00
3.650,0.00,0.00
3.700,0.00,0.44
3.750,0.00,0.90
3.800,0.13,0.95
3.850,0.14,0.47
3.900,0.15,-0.07
3.950,0.12,-0.14
4.000,0.12,-0.09
4.050,0.12,0.00
4.100,0.12,0.01
4.150,0.12,0.01
4.200,0.12,0.00
4.250,0.13,-5.15E-4
4.300,0.12,-0.01
4.350,0.12,-0.01
4.400,0.12,-7.55E-4
4.450,0.12,0.02
4.500,0.12,0.05
4.550,0.13,0.04
4.600,0.13,-0.42
4.650,0.13,-0.87
4.700,0.00,-0.86
4.750,0.00,-0.43
4.800,0.00,0.00
4.850,0.00,0.00
4.900,0.00,0.00
4.950,0.00,0.00
5.000,0.00,0.00
5.050,0.00,0.00
5.100,0.00,0.41
5.150,0.00,0.82
5.200,0.12,0.83
5.250,0.12,0.41
5.300,0.12,-0.01
5.350,0.12,-0.01
5.400,0.12,0.00
5.450,0.12,0.01
5.500,0.12,0.02
5.550,0.12,0.01
5.600,0.13,-0.01
5.650,0.12,-0.01
5.700,0.12,0.00
5.750,0.12,0.02
5.800,0.13,0.07
5.850,0.13,0.09
5.900,0.14,-0.40
5.950,0.13,-0.89
6.000,0.00,-0.91
6.050,0.00,-0.44
6.100,0.00,0.00
6.150,0.00,0.00
6.200,0.00,0.00
6.250,0.00,0.00
6.300,0.00,0.42
6.350,0.00,0.86
6.400,0.13,0.85
6.450,0.13,0.40
6.500,0.12,-0.04
6.550,0.12,-0.03
6.600,0.12,0.01
6.650,0.12,0.01
6.700,0.12,0.01
6.750,0.13,1.04E-4
6.800,0.13,-0.01
6.850,0.12,-0.02
6.900,0.12,0.00
6.950,0.12,0.01
7.000,0.12,0.01
7.050,0.12,0.02
7.100,0.12,0.11
7.150,0.13,-0.33
7.200,0.15,-0.85
7.250,0.00,-0.93
7.300,0.00,-0.50
7.350,0.00,0.00
7.400,0.00,0.00
7.450,0.00,0.00
7.500,0.00,0.00
7.550,0.00,0.42
7.600,0.00,0.85
7.650,0.13,0.86
7.700,0.13,0.43
7.750,0.13,-0.02
7.800,0.13,-0.04
7.850,0.12,-0.02
7.900,0.12,-0.01
7.950,0.12,0.01
8.000,0.12,0.01
8.050,0.13,0.00
8.100,0.12,0.00
8.150,0.12,-0.01
8.200,0.12,-0.01
8.250,0.12,8.81E-4
8.300,0.12,0.04
8.350,0.12,0.06
8.400,0.13,0.06
8.450,0.13,-0.41
8.500,0.13,-0.88
8.550,0.00,-0.88
8.600,0.00,-0.44
8.650,0.00,0.00
8.700,0.00,0.00
8.750,0.00,0.00
8.800,0.00,0.00
8.850,0.00,0.00
8.900,0.00,0.00
8.950,0.00,0.41
9.000,0.00,0.82
9.050,0.12,0.83
9.100,0.12,0.42
9.150,0.12,0.00
9.200,0.12,0.00
9.250,0.12,0.00
9.300,0.12,0.01
9.350,0.12,0.01
9.400,0.12,-0.01
9.450,0.12,-0.01
9.500,0.12,0.00
9.550,0.12,0.00
9.600,0.12,0.02
9.650,0.12,-0.40
9.700,0.13,-0.83
9.750,0.00,-0.84
9.800,0.00,-0.43
9.850,0.00,0.00
9.900,0.00,0.00
9.950,0.00,0.00
10.000,0.00,0.00
10.050,0.00,0.45
10.100,0.00,0.89
10.150,0.14,1.30
10.200,0.13,
