"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.37,,
0.050,0.37,-0.01,
0.100,0.37,-5.00E-4,0.02
0.150,0.37,0.00,-0.63
0.200,0.37,-0.04,-1.62
0.250,0.37,-0.15,-2.87
0.300,0.35,-0.34,-3.79
0.350,0.33,-0.57,-3.76
0.400,0.30,-0.76,-2.47
0.450,0.25,-0.85,-0.28
0.500,0.21,-0.80,2.09
0.550,0.17,-0.62,3.92
0.600,0.14,-0.37,4.84
0.650,0.13,-0.11,5.08
0.700,0.13,0.14,5.01
0.750,0.15,0.39,4.60
0.800,0.17,0.63,3.48
0.850,0.21,0.78,1.52
0.900,0.26,0.80,-0.76
0.950,0.30,0.69,-2.70
1.000,0.33,0.50,-4.15
1.050,0.35,0.27,-5.24
1.100,0.35,-0.03,-5.81
1.150,0.35,-0.35,-5.43
1.200,0.32,-0.62,-3.93
1.250,0.28,-0.77,-1.75
1.300,0.24,-0.79,0.50
1.350,0.20,-0.71,2.42
1.400,0.16,-0.53,3.87
1.450,0.14,-0.30,4.76
1.500,0.13,-0.04,5.08
1.550,0.13,0.22,4.89
1.600,0.16,0.46,4.23
1.650,0.18,0.66,3.21
1.700,0.22,0.79,1.45
1.750,0.27,0.86,-1.18
1.800,0.31,0.70,-3.91
1.850,0.35,0.40,-5.50
1.900,0.35,0.08,-5.54
1.950,0.35,-0.17,-5.01
2.000,0.34,-0.39,-4.41
2.050,0.31,-0.63,-3.31
2.100,0.27,-0.78,-1.33
2.150,0.23,-0.78,1.07
2.200,0.19,-0.65,2.88
2.250,0.16,-0.45,3.84
2.300,0.14,-0.24,4.34
2.350,0.14,-0.03,4.80
2.400,0.14,0.24,4.96
2.450,0.16,0.51,4.22
2.500,0.19,0.71,2.54
2.550,0.23,0.77,0.46
2.600,0.27,0.74,-1.56
2.650,0.31,0.62,-3.45
2.700,0.34,0.39,-4.99
2.750,0.35,0.09,-5.71
2.800,0.35,-0.23,-5.35
2.850,0.33,-0.48,-4.19
2.900,0.30,-0.65,-2.67
2.950,0.26,-0.75,-0.89
3.000,0.22,-0.76,1.13
3.050,0.18,-0.64,3.05
3.100,0.15,-0.42,4.33
3.150,0.14,-0.17,4.84
3.200,0.14,0.07,4.85
3.250,0.14,0.32,4.54
3.300,0.17,0.55,3.65
3.350,0.20,0.72,1.63
3.400,0.24,0.77,22.66
3.450,0.28,0.59,44.66
3.500,0.32,7.48,23.28
3.550,0.31,7.40,-45.26
3.600,2.46,0.94,-96.41
3.650,0.36,-6.45,-58.01
3.700,0.55,-7.60,8.47
3.750,0.29,-1.47,39.38
