"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
3.800,0.25,-1.50,25.82
3.850,0.21,-0.73,6.67
3.900,0.18,-0.59,5.77
3.950,0.15,-0.38,4.45
4.000,0.14,-0.12,4.94
4.050,0.14,0.14,4.88
4.100,0.15,0.38,4.42
4.150,0.18,0.59,3.42
4.200,0.21,0.75,1.61
4.250,0.25,0.78,-0.74
4.300,0.30,0.66,-2.84
4.350,0.32,0.46,-4.11
4.400,0.34,0.23,-4.73
4.450,0.35,-0.01,-5.01
4.500,0.34,-0.28,-4.85
4.550,0.32,-0.53,-3.90
4.600,0.28,-0.71,-2.12
4.650,0.25,-0.76,-0.01
4.700,0.20,-0.69,1.91
4.750,0.17,-0.55,3.33
4.800,0.15,-0.35,4.32
4.850,0.14,-0.11,4.93
4.900,0.14,0.16,5.04
4.950,0.15,0.42,4.45
5.000,0.18,0.64,3.09
5.050,0.22,0.75,1.17
5.100,0.26,0.76,-0.95
5.150,0.30,0.65,-2.93
5.200,0.33,0.45,-4.45
5.250,0.35,0.18,-5.17
5.300,0.35,-0.11,-5.03
5.350,0.33,-0.34,-4.34
5.400,0.31,-0.53,-3.38
5.450,0.28,-0.69,-1.96
5.500,0.24,-0.77,0.07
5.550,0.20,-0.69,2.20
5.600,0.16,-0.51,3.76
5.650,0.15,-0.29,4.57
5.700,0.13,-0.05,4.94
5.750,0.14,0.21,4.81
5.800,0.16,0.47,4.02
5.850,0.19,0.64,2.65
5.900,0.23,0.73,0.70
5.950,0.27,0.75,22.06
6.000,0.30,0.57,43.82
6.050,0.34,7.42,19.30
6.100,0.33,7.20,-51.64
6.150,2.47,-0.09,-99.01
6.200,0.33,-7.41,-51.66
6.250,0.30,-7.67,20.16
6.300,0.27,-0.72,45.64
6.350,0.23,-0.73,24.24
6.400,0.19,-0.65,2.53
6.450,0.16,-0.47,3.94
6.500,0.14,-0.23,4.69
6.550,0.14,0.02,4.86
6.600,0.15,0.27,4.57
6.650,0.16,0.50,3.71
6.700,0.20,0.67,1.83
6.750,0.24,0.73,23.16
6.800,0.27,0.58,45.37
6.850,0.31,7.53,21.39
6.900,0.30,7.48,-50.06
6.950,2.47,0.25,-99.03
7.000,0.35,-7.15,-53.10
7.050,0.33,-7.55,18.42
7.100,0.30,-0.66,44.16
7.150,0.26,-0.72,22.83
7.200,0.22,-0.72,1.05
7.250,0.19,-0.63,2.75
7.300,0.16,-0.44,4.12
7.350,0.14,-0.19,4.82
7.400,0.14,0.07,4.87
7.450,0.15,0.31,4.42
7.500,0.17,0.53,3.50
7.550,0.20,0.68,1.96
7.600,0.24,0.75,-0.03
7.650,0.28,0.68,-2.03
7.700,0.31,0.52,-3.58
7.750,0.34,0.30,-4.51
7.800,0.35,0.05,-4.89
7.850,0.34,-0.20,-4.76
7.900,0.32,-0.44,-4.10
7.950,0.30,-0.64,-2.78
8.000,0.26,-0.75,-0.86
8.050,0.22,-0.73,1.32
8.100,0.18,-0.60,3.25
8.150,0.15,-0.38,4.48
8.200,0.14,-0.12,4.87
8.250,0.14,0.13,4.60
8.300,0.16,0.35,3.97
8.350,0.18,0.53,3.09
8.400,0.21,0.67,1.77
8.450,0.25,0.73,-0.04
8.500,0.29,0.68,-2.04
8.550,0.32,0.51,-3.75
8.600,0.34,0.28,-4.77
8.650,0.35,0.01,-5.06
8.700,0.34,-0.25,-4.79
8.750,0.32,-0.48,-3.97
8.800,0.29,-0.67,-2.47
8.850,0.25,-0.76,-0.32
8.900,0.21,-0.71,1.90
8.950,0.18,-0.54,3.48
9.000,0.15,-0.32,4.23
9.050,0.14,-0.10,4.51
9.100,0.14,0.12,4.57
9.150,0.15,0.37,4.25
9.200,0.18,0.58,3.35
9.250,0.22,0.72,1.80
9.300,0.26,0.78,-0.38
9.350,0.29,0.71,-2.89
9.400,0.34,0.47,-4.89
9.450,0.35,0.15,-5.54
9.500,0.34,-0.14,-5.00
9.550,0.33,-0.35,-4.01
9.600,0.31,-0.53,-2.98
9.650,0.28,-0.66,-1.67
9.700,0.24,-0.71,0.04
9.750,0.20,-0.66,1.82
9.800,0.17,-0.51,3.29
9.850,0.15,-0.31,4.27
9.900,0.14,-0.07,4.78
9.950,0.14,0.18,4.74
10.000,0.16,0.43,4.02
10.050,0.19,0.61,2.65
10.100,0.22,0.71,0.84
10.150,0.26,0.70,-1.06
10.200,0.30,0.59,-2.76
10.250,0.32,0.41,-4.03
10.300,0.34,0.17,-4.75
10.350,0.34,-0.09,-4.85
10.400,0.33,-0.34,-4.31
10.450,0.31,-0.54,-3.18
10.500,0.27,-0.67,-1.56
10.550,0.23,-0.71,0.39
10.600,0.20,-0.64,2.36
10.650,0.17,-0.46,
10.700,0.15,-0.21,
10.750,0.15,,
