"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1"
0.000,0.20,
0.050,0.23,0.54
0.100,0.26,0.52
0.150,0.29,0.44
0.200,0.30,0.31
0.250,0.32,0.12
0.300,0.32,-0.09
0.350,0.31,-0.35
0.400,0.29,-0.53
0.450,0.25,-0.58
0.500,0.22,-0.50
0.550,0.20,-0.33
0.600,0.18,-0.16
0.650,0.18,0.04
0.700,0.19,0.25
0.750,0.21,0.40
0.800,0.23,0.50
0.850,0.26,0.51
0.900,0.28,0.47
0.950,0.31,0.31
1.000,0.33,0.05
1.050,0.31,-0.21
1.100,0.29,-0.37
1.150,0.28,-0.45
1.200,0.25,-0.52
1.250,0.22,-0.48
1.300,0.19,-0.33
1.350,0.19,-0.12
1.400,0.18,0.07
1.450,0.19,0.24
1.500,0.21,0.39
1.550,0.23,0.52
1.600,0.26,0.54
1.650,0.30,0.40
1.700,0.31,0.20
1.750,0.31,0.01
1.800,0.31,-0.16
1.850,0.30,-0.35
1.900,0.27,-0.50
1.950,0.24,-0.52
2.000,0.22,-0.44
2.050,0.20,-0.30
2.100,0.18,-0.11
2.150,0.18,0.08
2.200,0.19,0.25
2.250,0.21,0.40
2.300,0.24,0.48
2.350,0.26,0.53
2.400,0.29,0.45
2.450,0.32,1.00
2.500,0.31,0.74
2.550,0.53,-0.24
2.600,0.29,-1.13
2.650,0.27,-1.22
2.700,0.24,-0.48
2.750,0.22,-0.43
2.800,0.20,-0.30
2.850,0.18,-0.12
2.900,0.18,0.08
2.950,0.19,0.27
3.000,0.21,0.41
3.050,0.24,0.50
3.100,0.27,0.49
3.150,0.29,0.37
3.200,0.31,0.19
3.250,0.31,0.00
3.300,0.30,-0.19
3.350,0.29,-0.35
3.400,0.27,-0.46
3.450,0.24,-0.49
3.500,0.21,-0.40
3.550,0.20,-0.26
3.600,0.19,-0.10
3.650,0.19,0.07
3.700,0.19,0.25
3.750,0.21,0.41
3.800,0.24,0.48
3.850,0.26,0.46
3.900,0.29,0.37
3.950,0.30,0.20
4.000,0.31,5.43E-4
4.050,0.30,-0.20
4.100,0.29,-0.36
4.150,0.26,-0.45
4.200,0.24,-0.46
4.250,0.22,-0.40
4.300,0.20,-0.28
4.350,0.19,-0.10
4.400,0.19,0.10
4.450,0.20,0.27
4.500,0.21,0.40
4.550,0.24,0.49
4.600,0.27,0.50
4.650,0.29,0.36
4.700,0.31,0.15
4.750,0.31,-0.05
4.800,0.30,-0.20
4.850,0.29,-0.34
4.900,0.27,-0.44
4.950,0.24,-0.47
5.000,0.21,-0.39
5.050,0.20,-0.24
5.100,0.19,-0.08
5.150,0.19,0.09
5.200,0.20,0.25
5.250,0.22,0.39
5.300,0.24,0.46
5.350,0.27,0.43
5.400,0.29,0.33
5.450,0.30,0.17
5.500,0.30,0.00
5.550,0.30,-0.18
5.600,0.29,-0.34
5.650,0.26,-0.43
5.700,0.24,-0.45
5.750,0.22,-0.38
5.800,0.20,-0.26
5.850,0.19,-0.09
5.900,0.19,0.09
5.950,0.20,0.26
6.000,0.22,0.40
6.050,0.24,0.45
6.100,0.26,0.43
6.150,0.28,0.33
6.200,0.30,0.18
6.250,0.30,0.00
6.300,0.30,-0.18
6.350,0.28,-0.34
6.400,0.26,-0.43
6.450,0.24,-0.44
6.500,0.22,-0.38
6.550,0.20,-0.25
6.600,0.19,-0.09
6.650,0.19,0.09
6.700,0.20,0.26
6.750,0.22,0.38
6.800,0.24,0.44
6.850,0.26,0.43
6.900,0.29,0.34
6.950,0.30,0.18
7.000,0.31,-0.02
7.050,0.30,-0.20
7.100,0.28,-0.34
7.150,0.26,-0.42
7.200,0.24,-0.43
7.250,0.22,-0.36
7.300,0.20,-0.22
7.350,0.19,-0.06
7.400,0.19,0.09
7.450,0.20,0.24
7.500,0.22,0.36
7.550,0.24,0.42
7.600,0.26,0.41
7.650,0.28,0.31
7.700,0.30,0.17
7.750,0.30,0.01
7.800,0.30,-0.16
7.850,0.29,-0.31
7.900,0.26,-0.42
7.950,0.24,-0.44
8.000,0.22,-0.36
8.050,0.20,-0.23
8.100,0.19,-0.07
8.150,0.19,0.09
8.200,0.20,0.24
8.250,0.22,0.35
8.300,0.24,0.41
8.350,0.26,0.41
8.400,0.28,0.34
8.450,0.30,0.20
8.500,0.31,-3.94E-5
8.550,0.30,-0.20
8.600,0.28,-0.35
8.650,0.26,-0.42
8.700,0.24,-0.42
8.750,0.22,-0.35
8.800,0.20,-0.22
8.850,0.20,-0.06
8.900,0.20,0.09
8.950,0.21,0.23
9.000,0.22,0.34
9.050,0.24,0.42
9.100,0.26,0.41
9.150,0.29,0.31
9.200,0.30,0.14
9.250,0.30,-0.03
9.300,0.29,-0.17
9.350,0.28,-0.30
9.400,0.26,-0.39
9.450,0.24,-0.42
9.500,0.22,-0.36
9.550,0.20,-0.22
9.600,0.19,-0.06
9.650,0.20,0.10
9.700,0.21,0.23
9.750,0.22,0.34
9.800,0.24,0.40
9.850,0.26,0.38
9.900,0.28,0.30
9.950,0.29,0.17
10.000,0.30,0.01
10.050,0.30,-0.17
10.100,0.28,-0.32
10.150,0.26,-0.41
10.200,0.24,-0.40
10.250,0.22,-0.33
10.300,0.21,-0.21
10.350,0.20,-0.07
10.400,0.20,0.07
10.450,0.20,0.22
10.500,0.22,0.34
10.550,0.24,0.41
10.600,0.26,0.40
10.650,0.28,0.31
10.700,0.30,0.15
10.750,0.30,-0.02
10.800,0.29,-0.18
10.850,0.28,-0.30
10.900,0.26,-0.37
10.950,0.24,-0.40
11.000,0.22,
