"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1"
0.000,0.33,
0.050,0.32,-0.26
0.100,0.30,-0.43
0.150,0.27,-0.51
0.200,0.25,-0.49
0.250,0.22,-0.35
0.300,0.21,-0.13
0.350,0.21,0.10
0.400,0.22,0.30
0.450,0.24,0.45
0.500,0.27,0.50
0.550,0.29,0.44
0.600,0.31,0.28
0.650,0.32,0.08
0.700,0.32,-0.15
0.750,0.31,-0.35
0.800,0.28,-0.48
0.850,0.26,-0.49
0.900,0.23,-0.39
0.950,0.22,-0.22
1.000,0.21,-5.86E-4
1.050,0.21,0.22
1.100,0.23,0.40
1.150,0.26,0.48
1.200,0.28,0.46
1.250,0.31,0.33
1.300,0.32,0.14
1.350,0.32,-0.07
1.400,0.31,-0.26
1.450,0.29,-0.41
1.500,0.27,-0.48
1.550,0.24,-0.44
1.600,0.22,-0.29
1.650,0.21,-0.07
1.700,0.21,0.15
1.750,0.23,0.33
1.800,0.25,0.44
1.850,0.27,0.46
1.900,0.30,0.38
1.950,0.32,0.21
2.000,0.32,0.01
2.050,0.32,-0.19
2.100,0.30,-0.36
2.150,0.28,-0.45
2.200,0.25,-0.44
2.250,0.23,-0.33
2.300,0.22,-0.15
2.350,0.21,0.05
2.400,0.22,0.25
2.450,0.24,0.39
2.500,0.26,0.45
2.550,0.29,0.42
2.600,0.31,0.30
2.650,0.32,0.11
2.700,0.32,-0.11
2.750,0.31,-0.30
2.800,0.29,-0.42
2.850,0.26,-0.44
2.900,0.24,-0.38
2.950,0.22,-0.23
3.000,0.21,-0.04
3.050,0.22,0.16
3.100,0.23,0.32
3.150,0.25,0.42
3.200,0.28,0.44
3.250,0.30,0.35
3.300,0.32,0.20
3.350,0.32,0.00
3.400,0.32,-0.21
3.450,0.30,-0.38
3.500,0.27,-0.45
3.550,0.25,-0.41
3.600,0.23,-0.29
3.650,0.22,-0.12
3.700,0.22,0.07
3.750,0.23,0.25
3.800,0.24,0.37
3.850,0.27,0.42
3.900,0.29,0.37
3.950,0.31,0.25
4.000,0.32,0.07
4.050,0.31,-0.12
4.100,0.30,-0.28
4.150,0.28,-0.39
4.200,0.26,-0.41
4.250,0.24,-0.34
4.300,0.22,-0.20
4.350,0.22,-0.02
4.400,0.22,0.16
4.450,0.24,0.31
4.500,0.26,0.40
4.550,0.28,0.40
4.600,0.30,0.31
4.650,0.31,0.15
4.700,0.31,-0.03
4.750,0.31,-0.20
4.800,0.29,-0.33
4.850,0.27,-0.39
4.900,0.25,-0.37
4.950,0.23,-0.27
5.000,0.22,-0.11
5.050,0.22,0.07
5.100,0.23,0.24
5.150,0.25,0.36
5.200,0.27,0.41
5.250,0.29,0.36
5.300,0.31,0.23
5.350,0.31,0.05
5.400,0.31,-0.13
5.450,0.30,-0.28
5.500,0.28,-0.37
5.550,0.26,-0.38
5.600,0.24,-0.32
5.650,0.23,-0.19
5.700,0.22,-0.02
5.750,0.23,0.16
5.800,0.24,0.30
5.850,0.26,0.37
5.900,0.28,0.37
5.950,0.30,0.28
6.000,0.31,0.14
6.050,0.31,-0.03
6.100,0.31,-0.19
6.150,0.29,-0.31
6.200,0.27,-0.37
6.250,0.25,-0.35
6.300,0.23,-0.25
6.350,0.22,-0.10
6.400,0.22,0.07
6.450,0.23,0.22
6.500,0.25,0.33
6.550,0.27,0.37
6.600,0.29,0.32
6.650,0.30,0.21
6.700,0.31,0.06
6.750,0.31,-0.10
6.800,0.30,-0.24
6.850,0.28,-0.33
6.900,0.26,-0.36
6.950,0.24,-0.30
7.000,0.23,-0.18
7.050,0.22,-0.02
7.100,0.23,0.14
7.150,0.24,0.28
7.200,0.26,0.35
7.250,0.28,0.35
7.300,0.30,0.27
7.350,0.31,0.13
7.400,0.31,-0.02
7.450,0.30,-0.17
7.500,0.29,-0.29
7.550,0.27,-0.35
7.600,0.25,-0.33
7.650,0.24,-0.24
7.700,0.23,-0.10
7.750,0.23,0.06
7.800,0.23,0.21
7.850,0.25,0.31
7.900,0.27,0.34
7.950,0.29,0.30
8.000,0.30,0.20
8.050,0.31,0.06
8.100,0.31,-0.09
8.150,0.30,-0.23
8.200,0.28,-0.31
8.250,0.26,-0.34
8.300,0.25,-0.29
8.350,0.23,-0.17
8.400,0.23,-0.03
8.450,0.23,0.13
8.500,0.24,0.25
8.550,0.26,0.32
8.600,0.28,0.33
8.650,0.29,0.26
8.700,0.30,0.14
8.750,0.31,-0.01
8.800,0.30,-0.15
8.850,0.29,-0.27
8.900,0.27,-0.32
8.950,0.26,-0.32
9.000,0.24,-0.23
9.050,0.23,-0.10
9.100,0.23,0.05
9.150,0.24,0.18
9.200,0.25,0.28
9.250,0.27,0.33
9.300,0.28,0.30
9.350,0.30,0.22
9.400,0.31,0.08
9.450,0.31,-0.07
9.500,0.30,-0.21
9.550,0.29,-0.31
9.600,0.27,-0.34
9.650,0.25,-0.28
9.700,0.24,-0.17
9.750,0.23,-0.03
9.800,0.23,0.11
9.850,0.24,0.23
9.900,0.26,0.30
9.950,0.27,0.31
10.000,0.29,0.25
10.050,0.30,0.14
10.100,0.30,-5.93E-4
10.150,0.30,-0.14
10.200,0.29,
