"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
9.300,0.12,-0.15,4.04
9.350,0.12,0.01,2.03
9.400,0.12,0.02,0.40
9.450,0.13,1.45E-4,0.26
9.500,0.13,-0.02,1.85
9.550,0.12,0.13,4.05
9.600,0.12,0.45,4.98
9.650,0.17,0.74,3.56
9.700,0.21,0.85,0.86
9.750,0.26,0.79,-1.72
9.800,0.29,0.66,-3.84
9.850,0.33,0.42,-5.56
9.900,0.34,0.07,-6.40
9.950,0.33,-0.29,-5.92
10.000,0.31,-0.55,-4.64
10.050,0.27,-0.73,-2.93
10.100,0.24,-0.88,-0.47
10.150,0.18,-0.84,3.06
10.200,0.13,-0.58,
10.250,0.12,-0.11,
10.300,0.12,,
