"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
2.850,0.22,0.44,3.42
2.900,0.24,0.58,1.79
2.950,0.28,0.63,-0.15
3.000,0.31,0.57,-2.12
3.050,0.34,0.41,-3.82
3.100,0.35,0.16,-4.88
3.150,0.36,-0.12,-4.97
3.200,0.34,-0.37,-4.03
3.250,0.32,-0.55,-2.40
3.300,0.28,-0.62,-0.43
3.350,0.25,-0.59,1.55
3.400,0.22,-0.46,3.22
3.450,0.20,-0.24,4.29
3.500,0.20,-1.19E-4,4.62
3.550,0.20,0.24,4.26
3.600,0.22,0.45,3.24
3.650,0.25,0.59,1.61
3.700,0.28,0.62,-0.46
3.750,0.32,0.54,-2.53
3.800,0.34,0.35,-4.08
3.850,0.35,0.10,-4.76
3.900,0.35,-0.16,-4.55
3.950,0.34,-0.38,-3.65
4.000,0.31,-0.54,-2.18
4.050,0.28,-0.61,-0.29
4.100,0.25,-0.57,1.70
4.150,0.22,-0.43,3.34
4.200,0.20,-0.21,4.32
4.250,0.20,0.03,4.56
4.300,0.21,0.27,4.08
4.350,0.23,0.46,2.95
4.400,0.25,0.58,1.25
4.450,0.29,0.60,-0.72
4.500,0.32,0.50,-2.56
4.550,0.34,0.32,-3.88
4.600,0.35,0.09,-4.50
4.650,0.35,-0.15,-4.43
4.700,0.33,-0.37,-3.64
4.750,0.31,-0.54,-2.17
4.800,0.28,-0.61,-0.18
4.850,0.24,-0.57,1.88
4.900,0.22,-0.41,3.49
4.950,0.20,-0.18,4.35
5.000,0.20,0.05,4.46
5.050,0.21,0.28,3.94
5.100,0.23,0.47,2.79
5.150,0.26,0.58,1.08
5.200,0.29,0.59,-0.91
5.250,0.32,0.48,-2.72
5.300,0.34,0.29,-3.98
5.350,0.35,0.06,-4.52
5.400,0.35,-0.18,-4.30
5.450,0.33,-0.39,-3.36
5.500,0.31,-0.54,-1.82
5.550,0.27,-0.59,0.08
5.600,0.24,-0.53,1.94
5.650,0.22,-0.38,3.40
5.700,0.20,-0.17,4.25
5.750,0.20,0.07,4.40
5.800,0.21,0.29,3.86
5.850,0.23,0.48,2.67
5.900,0.26,0.58,0.93
5.950,0.29,0.58,-1.07
6.000,0.32,0.47,-2.90
6.050,0.34,0.27,-4.11
6.100,0.35,0.03,-4.48
6.150,0.35,-0.21,-4.11
6.200,0.33,-0.40,-3.13
6.250,0.30,-0.54,-1.63
6.300,0.27,-0.58,0.23
6.350,0.24,-0.52,2.09
6.400,0.22,-0.36,3.49
6.450,0.20,-0.14,4.21
6.500,0.20,0.09,4.23
6.550,0.21,0.30,3.65
6.600,0.23,0.47,2.46
6.650,0.26,0.57,0.74
6.700,0.30,0.56,-1.20
6.750,0.32,0.44,-2.86
6.800,0.34,0.25,-3.88
6.850,0.35,0.03,-4.26
6.900,0.34,-0.19,-4.06
6.950,0.33,-0.40,-3.22
7.000,0.30,-0.55,-1.65
7.050,0.27,-0.59,0.34
7.100,0.24,-0.50,2.22
7.150,0.22,-0.34,3.56
7.200,0.20,-0.13,4.21
7.250,0.20,0.10,4.22
7.300,0.21,0.32,3.58
7.350,0.24,0.48,2.30
7.400,0.27,0.57,0.56
7.450,0.30,0.54,-1.24
7.500,0.32,0.42,-2.76
7.550,0.34,0.25,-3.87
7.600,0.35,0.03,-4.45
7.650,0.35,-0.22,-4.25
7.700,0.33,-0.44,-3.10
7.750,0.30,-0.56,-1.32
7.800,0.27,-0.56,0.60
7.850,0.24,-0.49,2.27
7.900,0.22,-0.33,3.49
7.950,0.20,-0.11,4.15
8.000,0.20,0.11,4.15
8.050,0.22,0.32,3.49
8.100,0.24,0.48,2.23
8.150,0.27,0.56,0.55
8.200,0.30,0.54,-1.31
8.250,0.32,0.43,-2.97
8.300,0.34,0.23,-4.08
8.350,0.35,-0.01,-4.38
8.400,0.34,-0.24,-3.87
8.450,0.32,-0.42,-2.74
8.500,0.30,-0.53,-1.21
8.550,0.27,-0.55,0.55
8.600,0.24,-0.47,2.24
8.650,0.22,-0.31,3.48
8.700,0.21,-0.10,4.07
8.750,0.21,0.12,4.02
8.800,0.22,0.32,3.36
8.850,0.24,0.48,2.12
8.900,0.27,0.55,0.41
8.950,0.30,0.52,-1.44
9.000,0.32,0.39,-2.96
9.050,0.34,0.20,-3.87
9.100,0.34,-0.01,-4.11
9.150,0.34,-0.23,-3.75
9.200,0.32,-0.41,-2.76
9.250,0.30,-0.53,-1.22
9.300,0.27,-0.54,0.60
9.350,0.24,-0.46,2.29
9.400,0.22,-0.30,3.48
9.450,0.21,-0.09,4.05
9.500,0.21,0.13,3.98
9.550,0.22,0.33,3.27
9.600,0.24,0.48,2.01
9.650,0.27,0.54,0.38
9.700,0.30,0.52,-1.36
9.750,0.32,0.40,-2.94
9.800,0.34,0.21,-4.04
9.850,0.35,-0.03,-4.34
9.900,0.34,-0.26,-3.77
9.950,0.32,-0.43,-2.57
10.000,0.29,-0.52,-1.01
10.050,0.27,-0.54,0.69
10.100,0.24,-0.45,2.29
10.150,0.22,-0.29,
10.200,0.21,-0.08,
10.250,0.21,,
