"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.37,,
0.050,0.37,-0.03,
0.100,0.37,-0.02,-0.37
0.150,0.37,-0.07,-1.86
0.200,0.37,-0.19,-3.35
0.250,0.35,-0.42,-4.03
0.300,0.33,-0.67,-2.94
0.350,0.28,-0.79,-0.20
0.400,0.24,-0.70,2.79
0.450,0.21,-0.45,4.69
0.500,0.19,-0.18,5.20
0.550,0.19,0.09,4.91
0.600,0.20,0.32,4.31
0.650,0.22,0.53,3.25
0.700,0.25,0.68,1.44
0.750,0.29,0.70,-0.65
0.800,0.33,0.57,-2.66
0.850,0.36,0.44,-4.66
0.900,0.37,0.15,-6.39
0.950,0.39,-0.27,-6.65
1.000,0.34,-0.64,-4.41
1.050,0.30,-0.78,-1.07
1.100,0.27,-0.67,1.59
1.150,0.23,-0.56,3.13
1.200,0.21,-0.38,4.14
1.250,0.19,-0.13,4.90
1.300,0.19,0.14,4.90
1.350,0.21,0.39,4.07
1.400,0.23,0.57,2.51
1.450,0.27,0.66,0.42
1.500,0.30,0.62,-1.82
1.550,0.34,0.47,-3.69
1.600,0.35,0.22,-4.75
1.650,0.36,-0.04,-4.95
1.700,0.35,-0.29,-4.38
1.750,0.33,-0.50,-3.14
1.800,0.30,-0.63,-1.26
1.850,0.26,-0.65,0.97
1.900,0.23,-0.53,2.98
1.950,0.20,-0.32,4.29
2.000,0.19,-0.07,4.78
2.050,0.20,0.18,4.59
2.100,0.21,0.41,3.75
2.150,0.24,0.58,2.19
2.200,0.27,0.66,0.05
2.250,0.31,0.59,-2.09
2.300,0.34,0.41,-3.69
2.350,0.35,0.20,-4.59
2.400,0.36,-0.05,-4.90
2.450,0.35,-0.32,-4.47
2.500,0.32,-0.54,-3.02
2.550,0.29,-0.66,-0.85
2.600,0.25,-0.62,1.40
2.650,0.22,-0.49,3.19
2.700,0.20,-0.29,4.33
2.750,0.19,-0.03,4.78
2.800,0.20,0.22,4.46
