"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.37,,
0.050,0.37,-0.02,
0.100,0.37,-0.01,0.08
0.150,0.37,-0.01,-0.32
0.200,0.37,-0.03,-1.14
0.250,0.36,-0.10,-2.48
0.300,0.36,-0.27,-3.89
0.350,0.34,-0.52,-4.38
0.400,0.31,-0.78,-3.29
0.450,0.26,-0.91,-0.85
0.500,0.21,-0.87,2.05
0.550,0.17,-0.68,4.24
0.600,0.13,-0.39,4.85
0.650,0.13,-0.12,4.17
0.700,0.13,0.02,3.63
0.750,0.13,0.16,4.10
0.800,0.14,0.42,4.73
0.850,0.17,0.71,3.86
0.900,0.22,0.89,1.34
0.950,0.27,0.85,-1.56
1.000,0.31,0.68,-3.77
1.050,0.34,0.45,-5.07
1.100,0.35,0.16,-5.76
1.150,0.36,-0.15,-5.80
1.200,0.34,-0.45,-5.05
1.250,0.31,-0.68,-3.66
1.300,0.27,-0.82,-1.54
1.350,0.22,-0.87,1.06
1.400,0.18,-0.72,3.34
1.450,0.14,-0.46,4.33
1.500,0.13,-0.22,4.07
1.550,0.13,-0.07,3.92
1.600,0.12,0.10,4.47
1.650,0.13,0.39,4.92
1.700,0.16,0.66,4.13
1.750,0.20,0.85,2.08
1.800,0.25,0.88,-0.55
1.850,0.30,0.79,-3.19
1.900,0.33,0.55,-5.20
1.950,0.36,0.22,-6.08
2.000,0.35,-0.10,-5.81
2.050,0.34,-0.38,-4.95
2.100,0.32,-0.60,-3.81
2.150,0.28,-0.77,-2.15
2.200,0.24,-0.85,0.23
2.250,0.19,-0.77,2.68
2.300,0.15,-0.53,4.02
2.350,0.13,-0.29,4.00
2.400,0.13,-0.13,3.75
2.450,0.12,0.02,4.30
2.500,0.12,0.28,4.96
2.550,0.15,0.60,4.42
2.600,0.19,0.79,2.62
2.650,0.23,0.84,0.71
2.700,0.28,0.82,-1.00
2.750,0.32,0.78,-3.38
2.800,0.35,0.55,-6.38
2.850,0.39,0.10,-8.18
2.900,0.37,-0.41,-7.21
2.950,0.33,-0.71,-4.42
3.000,0.29,-0.80,-1.80
3.050,0.25,-0.84,0.24
3.100,0.21,-0.82,2.39
3.150,0.16,-0.62,4.28
3.200,0.13,-0.30,4.60
3.250,0.14,-0.07,3.52
3.300,0.14,0.01,2.99
3.350,0.14,0.12,3.81
3.400,0.14,0.40,4.58
3.450,0.18,0.68,3.73
3.500,0.22,0.83,1.47
3.550,0.26,0.81,1.46
3.600,0.30,0.71,1.79
3.650,0.34,1.24,-2.48
3.700,0.36,0.94,-11.07
3.750,0.58,-0.16,-16.11
3.800,0.34,-1.22,-10.10
3.850,0.30,-1.44,-0.85
3.900,0.27,-0.81,3.66
3.950,0.22,-0.82,3.37
4.000,0.18,-0.74,3.09
4.050,0.15,-0.51,4.51
4.100,0.12,-0.20,4.59
4.150,0.13,0.00,3.93
4.200,0.14,0.14,3.87
4.250,0.13,0.34,4.36
4.300,0.16,0.62,3.87
4.350,0.20,0.82,1.84
4.400,0.25,0.81,-0.79
4.450,0.29,0.70,-2.83
4.500,0.32,0.51,-4.19
4.550,0.34,0.28,-5.20
4.600,0.35,-0.02,-5.68
4.650,0.34,-0.33,-5.29
4.700,0.31,-0.59,-4.03
4.750,0.28,-0.75,-2.27
4.800,0.24,-0.81,-0.19
4.850,0.19,-0.78,2.04
4.900,0.15,-0.61,3.84
4.950,0.13,-0.34,4.62
5.000,0.12,-0.11,4.56
5.050,0.12,0.10,4.47
5.100,0.13,0.32,4.44
5.150,0.15,0.57,3.80
