"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
5.200,0.19,0.75,2.24
5.250,0.23,0.81,0.19
5.300,0.27,0.76,-1.74
5.350,0.31,0.63,-3.45
5.400,0.34,0.41,-4.94
5.450,0.36,0.12,-5.91
5.500,0.35,-0.21,-5.96
5.550,0.33,-0.52,-4.94
5.600,0.30,-0.74,-3.05
5.650,0.25,-0.84,-0.54
5.700,0.21,-0.81,2.07
5.750,0.17,-0.61,3.98
5.800,0.14,-0.34,4.44
5.850,0.14,-0.11,3.76
5.900,0.14,0.02,3.29
5.950,0.14,0.15,3.75
6.000,0.14,0.38,4.35
6.050,0.17,0.65,3.64
6.100,0.22,0.82,1.38
6.150,0.26,0.80,-1.37
6.200,0.30,0.65,-3.51
6.250,0.33,0.42,-4.72
6.300,0.34,0.16,-5.27
6.350,0.35,-0.12,-5.30
6.400,0.33,-0.40,-4.71
6.450,0.30,-0.62,-3.46
6.500,0.27,-0.76,-1.77
6.550,0.23,-0.80,0.31
6.600,0.19,-0.75,2.63
6.650,0.15,-0.54,4.39
6.700,0.12,-0.23,4.80
6.750,0.13,-7.32E-4,4.21
6.800,0.13,0.16,3.86
6.850,0.13,0.34,4.00
6.900,0.16,0.59,3.54
6.950,0.20,0.77,1.87
7.000,0.24,0.79,-0.48
7.050,0.28,0.70,-2.54
7.100,0.32,0.51,-3.91
7.150,0.34,0.28,-4.75
7.200,0.35,0.03,-5.20
7.250,0.34,-0.24,-5.23
7.300,0.32,-0.52,-4.54
7.350,0.29,-0.74,-2.91
7.400,0.24,-0.84,-0.42
7.450,0.20,-0.80,2.29
7.500,0.16,-0.59,4.05
7.550,0.13,-0.30,4.37
7.600,0.13,-0.11,3.93
7.650,0.13,0.04,3.95
7.700,0.12,0.25,4.43
7.750,0.16,0.52,4.20
7.800,0.19,0.74,2.85
7.850,0.23,0.81,0.59
7.900,0.27,0.81,-1.95
7.950,0.31,0.63,-4.19
8.000,0.34,0.34,-5.48
8.050,0.35,0.03,-5.52
8.100,0.34,-0.24,-4.89
8.150,0.32,-0.45,-3.96
8.200,0.29,-0.65,-2.70
8.250,0.26,-0.75,-1.07
8.300,0.21,-0.75,0.77
8.350,0.18,-0.67,2.45
8.400,0.15,-0.49,3.83
8.450,0.12,-0.27,
8.500,0.12,0.00,
8.550,0.12,,
