"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.37,,
0.050,0.37,0.00,
0.100,0.37,0.00,0.14
0.150,0.37,0.02,-0.34
0.200,0.37,0.00,-1.45
0.250,0.37,-0.10,-3.13
0.300,0.37,-0.32,-4.53
0.350,0.34,-0.60,-4.81
0.400,0.30,-0.85,-3.37
0.450,0.25,-1.01,-0.28
0.500,0.20,-0.92,3.28
0.550,0.15,-0.61,5.37
0.600,0.13,-0.26,4.90
0.650,0.14,-0.06,2.96
0.700,0.13,-0.01,1.85
0.750,0.13,0.02,2.70
0.800,0.13,0.21,4.47
0.850,0.14,0.53,5.04
0.900,0.19,0.83,3.33
0.950,0.24,0.92,0.35
1.000,0.28,0.82,-2.42
1.050,0.32,0.64,-2.66
1.100,0.35,0.38,-2.30
1.150,0.36,0.56,-4.81
1.200,0.35,0.21,-9.83
1.250,0.49,-0.63,-12.15
1.300,0.29,-1.38,-6.52
1.350,0.24,-1.50,1.81
1.400,0.19,-0.88,6.77
1.450,0.14,-0.58,6.86
1.500,0.12,-0.26,4.63
1.550,0.13,-0.06,2.98
1.600,0.12,-0.02,2.40
1.650,0.12,0.07,3.54
1.700,0.12,0.33,5.02
1.750,0.15,0.66,4.92
1.800,0.20,0.90,2.76
1.850,0.25,0.97,-0.47
1.900,0.30,0.84,-3.57
1.950,0.34,0.57,-5.68
2.000,0.36,0.23,-6.47
2.050,0.36,-0.12,-6.25
2.100,0.35,-0.41,-5.45
2.150,0.32,-0.67,-4.21
2.200,0.28,-0.86,-2.11
2.250,0.23,-0.93,0.88
2.300,0.18,-0.78,3.61
2.350,0.14,-0.48,4.68
2.400,0.14,-0.22,3.76
2.450,0.12,-0.09,2.57
2.500,0.12,-0.05,2.72
2.550,0.12,0.12,4.15
2.600,0.12,0.40,5.19
2.650,0.16,0.72,4.02
2.700,0.21,0.91,21.74
2.750,0.26,0.81,63.06
2.800,0.30,6.83,64.52
2.850,0.31,13.72,-21.51
2.900,2.20,7.36,-134.48
2.950,2.47,-6.17,-141.54
3.000,0.35,-13.63,-32.82
3.050,0.31,-7.76,59.89
3.100,0.27,-0.90,65.70
3.150,0.22,-0.93,25.00
3.200,0.17,-0.74,4.27
3.250,0.13,-0.42,5.12
3.300,0.14,-0.14,3.87
3.350,0.13,0.00,2.30
3.400,0.13,0.00,2.22
3.450,0.14,0.13,3.67
3.500,0.13,0.39,4.90
3.550,0.17,0.71,3.79
3.600,0.22,0.90,21.45
3.650,0.26,0.77,62.53
3.700,0.30,6.77,65.82
3.750,0.31,13.59,-17.86
3.800,2.20,7.82,-132.01
3.850,2.44,-5.64,-144.33
3.900,0.52,-13.60,-39.85
3.950,0.30,-8.29,56.08
4.000,0.26,-1.49,67.35
4.050,0.21,-0.93,28.63
4.100,0.16,-0.76,6.18
4.150,0.12,-0.43,5.35
4.200,0.12,-0.13,4.38
4.250,0.12,0.05,2.81
4.300,0.12,0.08,2.51
4.350,0.14,0.21,3.64
4.400,0.13,0.47,4.58
4.450,0.18,0.75,3.51
4.500,0.22,0.90,0.86
4.550,0.27,0.82,-1.90
4.600,0.31,0.66,-3.89
4.650,0.34,0.43,-5.26
4.700,0.36,0.13,-6.21
4.750,0.35,-0.23,-6.27
4.800,0.33,-0.55,-5.20
4.850,0.29,-0.77,-3.29
4.900,0.25,-0.88,-0.83
4.950,0.20,-0.88,1.93
5.000,0.16,-0.69,4.17
5.050,0.12,-0.39,4.95
5.100,0.12,-0.12,4.05
5.150,0.12,0.04,2.89
5.200,0.12,0.10,2.92
5.250,0.14,0.26,3.96
5.300,0.14,0.53,4.45
5.350,0.18,0.79,3.00
5.400,0.23,0.90,0.22
5.450,0.28,0.79,-2.49
5.500,0.31,0.60,-4.33
5.550,0.34,0.35,-5.40
5.600,0.35,0.05,-5.93
5.650,0.35,-0.27,-5.72
5.700,0.32,-0.56,-4.75
5.750,0.29,-0.77,-2.97
5.800,0.24,-0.89,-0.28
5.850,0.20,-0.83,2.74
5.900,0.15,-0.57,4.72
5.950,0.13,-0.26,4.64
6.000,0.13,-0.05,3.18
6.050,0.13,0.03,2.17
6.100,0.14,0.09,2.64
6.150,0.14,0.26,3.96
6.200,0.15,0.52,4.40
6.250,0.19,0.79,2.95
6.300,0.24,0.88,0.17
6.350,0.29,0.78,-2.63
6.400,0.32,0.57,-4.59
6.450,0.35,0.30,-5.70
6.500,0.35,-0.01,-6.06
6.550,0.34,-0.34,-5.62
6.600,0.32,-0.61,-4.40
6.650,0.28,-0.79,-2.36
6.700,0.24,-0.88,0.39
6.750,0.19,-0.77,3.14
6.800,0.15,-0.51,4.61
6.850,0.14,-0.22,4.06
6.900,0.14,-0.05,2.55
6.950,0.13,-0.02,1.97
7.000,0.14,0.05,3.07
7.050,0.13,0.27,4.59
7.100,0.15,0.58,4.58
7.150,0.20,0.83,2.53
7.200,0.25,0.86,-0.39
7.250,0.29,0.75,-2.94
7.300,0.32,0.55,-4.71
7.350,0.35,0.26,-5.78
7.400,0.35,-0.06,-6.01
7.450,0.34,-0.37,-5.35
7.500,0.31,-0.62,-4.09
7.550,0.27,-0.79,-2.30
7.600,0.23,-0.88,0.30
7.650,0.18,-0.80,3.23
7.700,0.14,-0.51,5.03
7.750,0.12,-0.18,4.43
7.800,0.14,0.01,2.51
7.850,0.13,0.00,1.83
7.900,0.14,0.06,3.20
7.950,0.12,0.32,4.87
8.000,0.16,0.65,4.45
8.050,0.20,0.86,2.05
8.100,0.25,0.85,-0.72
8.150,0.29,0.74,-2.91
8.200,0.33,0.56,-4.63
8.250,0.35,0.28,-6.08
8.300,0.36,-0.08,-6.61
8.350,0.34,-0.44,-5.81
8.400,0.31,-0.70,-4.00
8.450,0.27,-0.84,-1.52
