"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1"
4.200,0.26,-0.20
4.250,0.25,-0.36
4.300,0.22,-0.46
4.350,0.20,-0.53
4.400,0.17,-0.55
4.450,0.14,-0.46
4.500,0.12,-0.27
4.550,0.12,-0.09
4.600,0.12,0.02
4.650,0.12,0.15
4.700,0.13,0.34
4.750,0.15,0.50
4.800,0.18,0.55
4.850,0.21,0.51
4.900,0.23,0.43
4.950,0.25,0.32
5.000,0.27,0.15
5.050,0.27,-0.04
5.100,0.26,-0.21
5.150,0.25,-0.35
5.200,0.22,-0.45
5.250,0.20,-0.53
5.300,0.17,-0.55
5.350,0.14,-0.46
5.400,0.12,-0.27
5.450,0.11,-0.09
5.500,0.12,0.02
5.550,0.12,0.15
5.600,0.12,0.35
5.650,0.15,0.52
5.700,0.19,0.56
5.750,0.21,0.49
5.800,0.23,0.41
5.850,0.25,0.31
5.900,0.27,0.16
5.950,0.27,-0.04
6.000,0.26,-0.23
6.050,0.24,-0.37
6.100,0.22,-0.45
6.150,0.20,-0.51
6.200,0.17,-0.53
6.250,0.14,-0.45
6.300,0.12,-0.27
6.350,0.12,-0.09
6.400,0.12,0.02
6.450,0.12,0.15
6.500,0.13,0.34
6.550,0.15,0.51
6.600,0.19,0.56
6.650,0.21,0.51
6.700,0.24,0.41
6.750,0.25,0.29
6.800,0.27,0.14
6.850,0.27,-0.04
6.900,0.26,-0.22
6.950,0.25,-0.38
7.000,0.22,-0.49
7.050,0.20,-0.55
7.100,0.17,-0.53
7.150,0.14,-0.42
7.200,0.12,-0.24
7.250,0.12,-0.09
7.300,0.12,0.03
7.350,0.12,0.17
7.400,0.13,0.36
7.450,0.15,0.51
7.500,0.19,0.54
7.550,0.21,0.49
7.600,0.23,0.41
7.650,0.26,0.29
7.700,0.27,0.12
7.750,0.27,-0.07
7.800,0.26,-0.23
7.850,0.24,-0.37
7.900,0.22,-0.46
7.950,0.20,-0.52
8.000,0.17,-0.53
8.050,0.14,-0.44
8.100,0.12,-0.25
8.150,0.12,-0.08
8.200,0.12,0.03
8.250,0.12,0.17
8.300,0.13,0.37
8.350,0.16,0.53
8.400,0.19,0.56
8.450,0.21,0.48
8.500,0.24,0.39
8.550,0.25,0.29
8.600,0.27,0.13
8.650,0.27,-0.06
8.700,0.26,-0.25
8.750,0.24,-0.38
8.800,0.22,-0.45
8.850,0.19,-0.51
8.900,0.17,-0.52
8.950,0.14,-0.43
9.000,0.12,-0.24
9.050,0.12,-0.07
9.100,0.12,0.04
9.150,0.12,0.19
9.200,0.13,0.38
9.250,0.16,0.51
9.300,0.19,0.53
9.350,0.22,0.48
9.400,0.24,0.40
9.450,0.26,0.27
9.500,0.27,0.11
9.550,0.27,-0.07
9.600,0.26,-0.24
9.650,0.24,-0.39
9.700,0.22,-0.48
9.750,0.19,-0.52
9.800,0.17,-0.51
9.850,0.14,-0.41
9.900,0.12,-0.23
9.950,0.12,-0.08
10.000,0.12,0.05
10.050,0.12,0.22
10.100,0.13,0.40
10.150,0.16,0.50
10.200,0.19,0.50
10.250,0.21,0.47
10.300,0.24,0.41
10.350,0.26,0.28
10.400,0.27,0.10
10.450,0.27,-0.09
10.500,0.26,-0.25
10.550,0.24,-0.38
10.600,0.22,-0.46
10.650,0.19,-0.52
10.700,0.17,-0.51
10.750,0.14,-0.37
10.800,0.12,-0.15
10.850,0.13,0.00
10.900,0.13,0.01
10.950,0.12,0.04
11.000,0.13,0.26
11.050,0.15,0.23
11.100,0.19,-0.01
11.150,0.13,-0.12
11.200,0.14,0.05
11.250,0.16,0.31
11.300,0.17,0.24
11.350,0.19,0.07
11.400,0.18,
