"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1"
0.000,0.12,
0.050,0.12,-0.04
0.100,0.12,0.00
0.150,0.12,0.13
0.200,0.12,0.30
0.250,0.15,0.46
0.300,0.18,0.52
0.350,0.20,0.50
0.400,0.23,0.46
0.450,0.25,0.37
0.500,0.27,0.21
0.550,0.27,0.01
0.600,0.27,-0.19
0.650,0.25,-0.35
0.700,0.23,-0.43
0.750,0.21,-0.52
0.800,0.18,-0.57
0.850,0.14,-0.51
0.900,0.12,-0.31
0.950,0.12,-0.11
1.000,0.12,-6.90E-4
1.050,0.11,0.10
1.100,0.12,0.29
1.150,0.14,0.49
1.200,0.18,0.58
1.250,0.21,0.54
1.300,0.23,0.44
1.350,0.25,0.33
1.400,0.26,0.19
1.450,0.27,0.01
1.500,0.27,-0.18
1.550,0.25,-0.35
1.600,0.23,-0.46
1.650,0.20,-0.53
1.700,0.18,-0.56
1.750,0.14,-0.48
1.800,0.12,-0.30
1.850,0.12,-0.11
1.900,0.12,0.00
1.950,0.12,0.14
2.000,0.12,0.32
2.050,0.15,0.47
2.100,0.18,0.52
2.150,0.20,0.51
2.200,0.23,0.47
2.250,0.25,0.35
2.300,0.27,0.17
2.350,0.27,-0.02
2.400,0.26,-0.19
2.450,0.25,-0.34
2.500,0.23,-0.45
2.550,0.20,-0.54
2.600,0.17,-0.57
2.650,0.14,-0.47
2.700,0.12,-0.28
2.750,0.12,-0.10
2.800,0.12,0.00
2.850,0.12,0.12
2.900,0.12,0.32
2.950,0.15,0.51
3.000,0.18,0.56
3.050,0.21,0.50
3.100,0.23,0.42
3.150,0.25,0.33
3.200,0.27,0.18
3.250,0.27,-0.02
3.300,0.26,-0.21
3.350,0.25,-0.36
3.400,0.23,-0.45
3.450,0.20,-0.53
3.500,0.17,-0.55
3.550,0.14,-0.47
3.600,0.12,-0.28
3.650,0.12,-0.10
3.700,0.12,0.01
3.750,0.12,0.16
3.800,0.13,0.34
3.850,0.15,0.48
3.900,0.18,0.53
3.950,0.21,0.51
4.000,0.23,0.44
4.050,0.25,0.32
4.100,0.26,0.16
4.150,0.27,-0.02
