"Time (s) Run #1","Angular Velocity - z (rad/s) Run #1"
32.150,-1.2
32.200,-1.1
32.250,-1.1
32.300,-1.1
32.350,-1.1
32.400,-1.2
32.450,-1.2
32.500,-1.2
32.550,-1.1
32.600,-1.1
32.650,-1.1
32.700,-1.0
32.750,-1.0
32.800,-1.0
32.850,-0.9
32.900,-0.8
32.950,-0.8
33.000,-0.7
33.050,-0.6
33.100,-0.6
33.150,-0.5
33.200,-0.5
33.250,-0.5
33.300,-0.6
33.350,-0.6
33.400,-0.6
33.450,-0.6
33.500,-0.6
33.550,-0.6
33.600,-0.5
33.650,-0.5
33.700,-0.5
33.750,-0.4
33.800,-0.4
33.850,-0.4
33.900,-0.4
33.950,-0.3
